journal,sentiment_score
Biomolecules,0.10165294117647058
"Tomography (Ann Arbor, Mich.)",0.1017
Nature,0.10170555555555555
Insights into imaging,0.1018
"Breast care (Basel, Switzerland)",0.1018
Journal of gastrointestinal oncology,0.10198571428571428
Clinical genitourinary cancer,0.10215833333333334
"Acta oncologica (Stockholm, Sweden)",0.10216
Translational cancer research,0.10223870967741935
Systematic reviews,0.10225000000000001
Proceedings of the National Academy of Sciences of the United States of America,0.10235652173913044
"Urologiia (Moscow, Russia : 1999)",0.103
European journal of radiology,0.10308000000000002
Clinical lung cancer,0.10313333333333333
The Journal of allergy and clinical immunology,0.1031625
The Analyst,0.1032
"Annals of surgery open : perspectives of surgical history, education, and clinical approaches",0.1034
Research square,0.10373333333333333
"Current oncology (Toronto, Ont.)",0.10384186046511629
Pharmacological research,0.10402
Clinical pharmacokinetics,0.10416666666666667
Archives of clinical neuropsychology : the official journal of the National Academy of Neuropsychologists,0.1042
Current problems in cancer,0.10424
Zhonghua wai ke za zhi [Chinese journal of surgery],0.10447142857142856
Exploration of targeted anti-tumor therapy,0.1045
Molecular cytogenetics,0.1046
Journal of personalized medicine,0.10463333333333334
Cell death discovery,0.10467272727272726
The Journal of clinical investigation,0.10468260869565219
JCO clinical cancer informatics,0.10475
Discovery immunology,0.1048
"Medical journal, Armed Forces India",0.1048
"Medical oncology (Northwood, London, England)",0.10482727272727273
Viruses,0.1048375
Zhonghua wei chang wai ke za zhi = Chinese journal of gastrointestinal surgery,0.10507999999999999
Trends in pharmacological sciences,0.10526666666666668
Basic and clinical andrology,0.1053
Discovery medicine..,0.10542499999999999
Nature medicine,0.10547222222222223
Computational and structural biotechnology journal,0.1055
The British journal of dermatology,0.1055
IUBMB life,0.1055
Thoracic cancer,0.105572
Animals : an open access journal from MDPI,0.10563333333333334
Acta pharmacologica Sinica,0.10564285714285715
Bulletin du cancer,0.10565454545454545
Asia-Pacific journal of oncology nursing,0.1057
International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics,0.1058
Gastroenterology,0.10583333333333333
Sovremennye tekhnologii v meditsine,0.10595
"Pharmaceuticals (Basel, Switzerland)",0.10598571428571428
Annals of medicine and surgery (2012),0.10601428571428571
The oncologist,0.10604642857142857
OncoTargets and therapy,0.10613333333333334
Journal of pathology informatics,0.1062
Asia-Pacific journal of clinical oncology,0.10628333333333334
Computer methods in biomechanics and biomedical engineering,0.10629999999999999
Blood advances,0.10637058823529412
Journal of hematology & oncology,0.10638421052631579
Human antibodies,0.1064
Proceedings (Baylor University. Medical Center),0.1064
Journal of clinical medicine,0.10647272727272727
"Urologie (Heidelberg, Germany)",0.1065
Gynecology and minimally invasive therapy,0.1066
International journal of medical informatics,0.1066
International journal of laboratory hematology,0.1068
Frontiers in oncology,0.10682972972972973
Cureus,0.10686222222222222
Asian journal of urology,0.107
BMC complementary medicine and therapies,0.1071
Toxicology reports,0.10723333333333333
Molecular therapy. Nucleic acids,0.10742
Liver cancer,0.10752857142857143
Frontiers in genetics,0.10765333333333334
Molecular and cellular biochemistry,0.107675
Revista do Instituto de Medicina Tropical de Sao Paulo,0.1077
Indian journal of urology : IJU : journal of the Urological Society of India,0.1077
Calcified tissue international,0.1078
Cancer discovery,0.10782941176470588
Frontiers in pharmacology,0.10807567567567568
Central European journal of urology,0.1081
Trends in microbiology,0.1083
Clinical pharmacology : advances and applications,0.1083
Oncotarget,0.1083375
"Cellular oncology (Dordrecht, Netherlands)",0.10857142857142857
Human vaccines & immunotherapeutics,0.1086265306122449
Trends in biotechnology,0.1087
"Medicina (Kaunas, Lithuania)",0.10888333333333333
Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners,0.10898571428571428
Science China. Life sciences,0.109
Cancer treatment and research communications,0.10903333333333333
Computers in biology and medicine,0.1092
Topics in current chemistry (Cham),0.1092
Protein and peptide letters,0.10925
Journal of biomedical science,0.10925
Medicina,0.1094
"Clinical lymphoma, myeloma & leukemia",0.1094076923076923
Cell proliferation,0.10948333333333332
Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,0.1095
The British journal of surgery,0.1096
Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,0.1097
Gene,0.10975
Microorganisms,0.1099
"Applied radiation and isotopes : including data, instrumentation and methods for use in agriculture, industry and medicine",0.1099
Clinical and experimental medicine,0.10995555555555556
Immunological investigations,0.11
European journal of oral sciences,0.11
International journal of clinical oncology,0.1101
Journal of pineal research,0.1102
Current cardiology reviews,0.11024999999999999
BMJ oncology,0.11027142857142858
Annals of transplantation,0.1105
Cancer biology & medicine,0.11057777777777777
Gastric cancer : official journal of the International Gastric Cancer Association and the Japanese Gastric Cancer Association,0.1106
Frontiers in cell and developmental biology,0.110625
Journal of cancer research and clinical oncology,0.11085384615384616
Translational oncology,0.11089310344827587
Blood transfusion = Trasfusione del sangue,0.1109
Journal of pharmacy & bioallied sciences,0.111
Naunyn-Schmiedeberg's archives of pharmacology,0.11102777777777778
International review of cell and molecular biology,0.11103333333333333
Cell death & disease,0.11105185185185186
Scientific reports,0.1110747311827957
"Journal of plastic, reconstructive & aesthetic surgery : JPRAS",0.1111
Chinese clinical oncology,0.1111
Journal of thoracic disease,0.11113157894736841
Stem cell research & therapy,0.11115
EClinicalMedicine,0.11116666666666668
Clinical oncology (Royal College of Radiologists (Great Britain)),0.11120000000000001
European urology focus,0.11121666666666667
Pediatric blood & cancer,0.11122
Molecular immunology,0.11137142857142858
Nature communications,0.11140446428571428
"Clinical trials (London, England)",0.1117
Clinical & translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico,0.11181428571428571
Indian journal of microbiology,0.112
Frontiers in microbiology,0.11221428571428571
"Journal of molecular medicine (Berlin, Germany)",0.1124
Purinergic signalling,0.1125
ClinicoEconomics and outcomes research : CEOR,0.1125
Case reports in oncology,0.11259999999999999
Drugs - real world outcomes,0.11265
Biochemical genetics,0.11286666666666667
Biological procedures online,0.11320000000000001
Cytotherapy,0.1132125
The Journal of urology,0.1134
Biomarker research,0.1134
Asian journal of pharmaceutical sciences,0.11354
Transplantation and cellular therapy,0.1137925925925926
Technology in cancer research & treatment,0.11382142857142859
iScience,0.11382647058823529
Journal of gynecologic oncology,0.1139
Expert opinion on therapeutic targets,0.113925
Acta medica portuguesa,0.114
Medicine,0.11427631578947368
Biochimica et biophysica acta. Reviews on cancer,0.1143125
Archivos espanoles de urologia,0.11449999999999999
"Innere Medizin (Heidelberg, Germany)",0.1145
Critical reviews in oncology/hematology,0.11460833333333333
"European journal of cancer (Oxford, England : 1990)",0.11464750000000001
Frontiers in immunology,0.11473242375601928
Archiv der Pharmazie,0.1149
"Journal of immunology (Baltimore, Md. : 1950)",0.1149
"Molecules (Basel, Switzerland)",0.114975
Journal of neuromuscular diseases,0.115
Critical reviews in clinical laboratory sciences,0.1152
Urolithiasis,0.1152
Bioelectronic medicine,0.1153
Cell communication and signaling : CCS,0.11535454545454545
Expert opinion on pharmacotherapy,0.11536666666666667
Nihon yakurigaku zasshi. Folia pharmacologica Japonica,0.11545
Trends in immunology,0.115475
EJHaem,0.115525
Journal of cellular and molecular medicine,0.11558333333333332
NPJ genomic medicine,0.1156
Journal of clinical and experimental hepatology,0.11565
APL bioengineering,0.1157
Proteomes,0.1157
"Cellular and molecular biology (Noisy-le-Grand, France)",0.1158
Oncology research,0.11599166666666666
Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,0.11620000000000001
Nature materials,0.1163
Archives of oral biology,0.1164
Cancer,0.116515
Journal of the National Comprehensive Cancer Network : JNCCN,0.11688333333333334
The British journal of radiology,0.1169
NPJ breast cancer,0.11693333333333333
Gynecologic oncology,0.11707777777777778
Apoptosis : an international journal on programmed cell death,0.11708750000000001
Microbial pathogenesis,0.1171
Current pharmaceutical biotechnology,0.117125
Amino acids,0.1172
Journal of Cancer,0.11745263157894736
Hematological oncology,0.11745555555555555
"Journal of immunotherapy (Hagerstown, Md. : 1997)",0.11745833333333333
Breast cancer (Dove Medical Press),0.11761428571428571
European cytokine network,0.1177
International immunopharmacology,0.11773709677419354
Journal of extracellular vesicles,0.11776
Cancer research communications,0.11776
The journal of obstetrics and gynaecology research,0.1178
Journal of translational medicine,0.11781910112359552
"Cancer reports (Hoboken, N.J.)",0.11788823529411763
Gut microbes,0.11795
"Veterinary oncology (London, England)",0.118
"Liver research (Beijing, China)",0.11808
The American journal of surgical pathology,0.1181
"Drug design, development and therapy",0.11815
Endocrine-related cancer,0.1182
Annales de biologie clinique,0.1182
Clinical and experimental gastroenterology,0.1183
"Breast cancer (Tokyo, Japan)",0.11850000000000001
The Lancet regional health. Europe,0.11855
Journal of endocrinological investigation,0.1186
BJUI compass,0.1186
Urologic oncology,0.11864
Experimental hematology & oncology,0.11864117647058825
BMC medicine,0.11865555555555557
Current protein & peptide science,0.1187
"Cancer immunology, immunotherapy : CII",0.11870485436893204
Journal for immunotherapy of cancer,0.11875546218487396
"Methods (San Diego, Calif.)",0.1189
Practical radiation oncology,0.11908
Translational gastroenterology and hepatology,0.11926666666666667
"Annals of the Academy of Medicine, Singapore",0.11935
International journal of molecular sciences,0.1194111111111111
JNCI cancer spectrum,0.11943333333333334
Deutsche medizinische Wochenschrift (1946),0.1196
"Methods in molecular biology (Clifton, N.J.)",0.11967419354838708
Biochimica et biophysica acta. Molecular basis of disease,0.1196875
Nutrients,0.11993333333333334
Expert review of clinical pharmacology,0.12
Biologics : targets & therapy,0.12
Journal of the National Cancer Institute,0.12006666666666665
Cancer research,0.12013928571428571
Cytokine & growth factor reviews,0.12014999999999999
World journal of clinical oncology,0.12018333333333335
The journal of liquid biopsy,0.12026666666666667
Blood cancer discovery,0.120275
"Science (New York, N.Y.)",0.12047999999999999
Iranian journal of pharmaceutical research : IJPR,0.1205
Leukemia,0.12052727272727273
Inflammopharmacology,0.12065000000000001
Annals of clinical and laboratory science,0.1207
Virchows Archiv : an international journal of pathology,0.12075
Frontiers in oral health,0.1208
Cancer biology & therapy,0.12095
PeerJ,0.12100555555555556
"Biomedical research (Tokyo, Japan)",0.1211
Nano letters,0.12113
RSC chemical biology,0.1214
Surgical endoscopy,0.1215
Immunology and allergy clinics of North America,0.1216
Otolaryngology--head and neck surgery : official journal of American Academy of Otolaryngology-Head and Neck Surgery,0.1217
Cancer metastasis reviews,0.1217
Journal of visualized experiments : JoVE,0.12177500000000001
Dermatology reports,0.12179999999999999
Experimental cell research,0.12186
Frontiers in pediatrics,0.1219
Journal of cardiothoracic and vascular anesthesia,0.1219
Accounts of chemical research,0.1221
Bulletin of mathematical biology,0.1221
World journal of urology,0.12218
Virology journal,0.12223333333333332
Blood,0.12248947368421054
Langenbeck's archives of surgery,0.122525
Anti-cancer drugs,0.12265999999999999
Journal of multidisciplinary healthcare,0.1227
Medicina clinica,0.1227
Breast cancer research : BCR,0.12273333333333332
Annals of medicine,0.1228
"Cyborg and bionic systems (Washington, D.C.)",0.1229
Life sciences,0.122975
"Lung cancer (Amsterdam, Netherlands)",0.12301111111111111
Case reports in medicine,0.1232
Iranian journal of biotechnology,0.1233
Respiratory research,0.12338333333333333
Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,0.12345416666666666
World journal of oncology,0.12353333333333333
Frontiers in medicine,0.1236
Frontiers in bioscience (Landmark edition),0.1236142857142857
Maturitas,0.1237
Science bulletin,0.12376666666666668
Communications biology,0.12383333333333334
Heliyon,0.12397777777777777
Journal of hepatocellular carcinoma,0.1240625
Small methods,0.12406666666666666
Current opinion in pulmonary medicine,0.1241
Current oncology reports,0.12412000000000001
Discover oncology,0.12423068783068784
Nature cardiovascular research,0.12425
Vaccines,0.12437200000000001
Nanotheranostics,0.1244
Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,0.1244
"Bladder (San Francisco, Calif.)",0.1245
Hepatology communications,0.12451666666666666
JCI insight,0.12452380952380954
Journal of orthopaedics,0.125
Microbiome research reports,0.12506666666666666
American journal of hematology,0.12508333333333332
Clinical and translational radiation oncology,0.1251
Medical decision making : an international journal of the Society for Medical Decision Making,0.1251
Journal of clinical pathology,0.1254
Journal of clinical epidemiology,0.1255
Basic research in cardiology,0.1258
"Pathobiology : journal of immunopathology, molecular and cellular biology",0.1259
PloS one,0.12607272727272728
European journal of nuclear medicine and molecular imaging,0.1261
Frontiers in cardiovascular medicine,0.12626666666666667
Journal of thrombosis and thrombolysis,0.1263
"Research (Washington, D.C.)",0.12638749999999999
Photochemistry and photobiology,0.1264
Expert review of anticancer therapy,0.1265227272727273
Clinical and translational science,0.1267
Mini reviews in medicinal chemistry,0.1269
Advances in experimental medicine and biology,0.12695
Molecular oncology,0.127075
Cellular immunology,0.12716666666666668
Immunologic research,0.12731666666666666
The Journal of investigative dermatology,0.12735
Nanotechnology,0.1274
Phytomedicine : international journal of phytotherapy and phytopharmacology,0.12744
Transplantation,0.1275
Oncogene,0.127525
The Kaohsiung journal of medical sciences,0.1276
Investigational new drugs,0.1276125
Pancreas,0.1278
Bioscience trends,0.1278
"Bioengineering (Basel, Switzerland)",0.12795
BMC immunology,0.12795
Brazilian journal of medical and biological research = Revista brasileira de pesquisas medicas e biologicas,0.12823333333333334
Archives of dermatological research..,0.12833333333333333
Molecular nutrition & food research,0.12840000000000001
Cancer biomarkers : section A of Disease markers,0.12845
Molecular therapy : the journal of the American Society of Gene Therapy,0.1284861111111111
Translational lung cancer research,0.12855172413793103
Bioorganic & medicinal chemistry letters,0.1286
Advanced functional materials,0.1286
The European respiratory journal,0.1286
Annual review of biomedical engineering,0.1286
Journal of virus eradication,0.1286
The international journal of biochemistry & cell biology,0.1287
Frontiers in public health,0.12878571428571428
Journal of clinical oncology : official journal of the American Society of Clinical Oncology,0.12880769230769232
BMC women's health,0.12893333333333332
Wounds : a compendium of clinical research and practice,0.129
Journal of cardiothoracic surgery,0.1291
Cell biology and toxicology,0.12912500000000002
"Acta endocrinologica (Bucharest, Romania : 2005)",0.1292
Methods in cell biology,0.12929
HNO,0.1293
American journal of clinical oncology,0.12938571428571427
Advanced biotechnology,0.1294
Wiley interdisciplinary reviews. Nanomedicine and nanobiotechnology,0.12945
Oncoimmunology,0.12951315789473683
EMBO molecular medicine,0.12953333333333333
Combinatorial chemistry & high throughput screening,0.12956666666666666
Computer methods and programs in biomedicine,0.12965
Statistical methods in medical research,0.12965
Inflammatory bowel diseases,0.1298
"Auris, nasus, larynx",0.1298
World journal of gastrointestinal oncology,0.13027222222222223
Journal of advanced research,0.13035555555555556
American journal of translational research,0.13036666666666666
Molecular systems biology,0.1304
ERJ open research,0.1306
International journal of genomics,0.130825
Cancer science,0.13085714285714287
BMC gastroenterology,0.1308625
Chemical science,0.1309
"Med (New York, N.Y.)",0.1311909090909091
"Nucleosides, nucleotides & nucleic acids",0.1312
Bone,0.1313
Rozhledy v chirurgii : mesicnik Ceskoslovenske chirurgicke spolecnosti,0.1314
Neurology,0.1315
Cell investigation,0.1318
Journal of drugs in dermatology : JDD,0.1318
ImmunoTargets and therapy,0.13193333333333335
Journal of biochemical and molecular toxicology,0.132125
Seminars in nuclear medicine,0.13222
"BioFactors (Oxford, England)",0.13225
JMIR formative research,0.13245
Trials,0.1325
"Radiologie (Heidelberg, Germany)",0.1325
Contraception,0.1329
Bioorganic chemistry,0.13315
Frontiers in bioinformatics,0.1333
Journal of dental research,0.1333
La Revue du praticien,0.1333
BioData mining,0.1334
Dermatology practical & conceptual,0.1336
American journal of clinical dermatology,0.1336
Clinical & translational immunology,0.13363333333333333
Journal of leukocyte biology,0.13365
Cell reports. Medicine,0.13368723404255317
World journal of gastrointestinal surgery,0.13375
International journal of nanomedicine,0.1337730769230769
"Bioinformatics (Oxford, England)",0.13392500000000002
iMeta,0.13394999999999999
Clinical radiology,0.134025
Oncology reviews,0.13405
"Digestive diseases (Basel, Switzerland)",0.1341
Current issues in molecular biology,0.1341
Immunotherapy advances,0.1341
Future science OA,0.1341
Clinical journal of gastroenterology,0.1344
Cytokine,0.13443333333333332
Expert review of molecular diagnostics,0.13445000000000001
mSystems,0.13456666666666667
Statistics in medicine,0.1348
Molecular therapy. Oncology,0.13493
Trends in endocrinology and metabolism: TEM,0.135
Ideggyogyaszati szemle,0.135
European journal of oncology nursing : the official journal of European Oncology Nursing Society,0.135
Pharmacological reviews,0.1352
"Rheumatology (Oxford, England)",0.13535
NPJ precision oncology,0.135375
Bioactive materials,0.13546666666666665
American journal of cancer research,0.13555454545454546
JHEP reports : innovation in hepatology,0.13588888888888886
Bone marrow transplantation,0.1359842105263158
Drug delivery and translational research,0.13603333333333334
Journal of voice : official journal of the Voice Foundation,0.1362
American journal of men's health,0.13624999999999998
Human immunology,0.13628
"Clinical immunology (Orlando, Fla.)",0.1363
Best practice & research. Clinical haematology,0.13646
Current medicinal chemistry,0.13646363636363637
Translational breast cancer research : a journal focusing on translational research in breast cancer,0.1365
Quantitative imaging in medicine and surgery,0.1366
International journal of biological macromolecules,0.13663260869565216
Cellular and molecular life sciences : CMLS,0.13663333333333333
Genes & diseases,0.13664285714285715
"Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc",0.13665
Renal failure,0.1367
ACS biomaterials science & engineering,0.13673333333333335
Surgical case reports,0.1369
European radiology,0.137025
American journal of physiology. Cell physiology,0.13724999999999998
BMC pulmonary medicine,0.1375
Personalized medicine,0.1375
Mathematical biosciences,0.1375
PNAS nexus,0.1376
"Gels (Basel, Switzerland)",0.13760000000000003
Gynecologic oncology reports,0.13768571428571427
Biotechnology and applied biochemistry,0.1378
Zhongguo fei ai za zhi = Chinese journal of lung cancer,0.13783333333333334
Pediatric neurology,0.138
Frontiers in bioengineering and biotechnology,0.1380222222222222
Transfusion medicine and hemotherapy : offizielles Organ der Deutschen Gesellschaft fur Transfusionsmedizin und Immunhamatologie,0.13803333333333334
ACG case reports journal,0.1385
Panminerva medica,0.1385
Expert opinion on drug delivery,0.1385
Annals of gastroenterological surgery,0.1387
Polymers,0.1388
Hepatology international,0.1389
Nanoscale horizons,0.13895
Journal of experimental & clinical cancer research : CR,0.13897567567567568
Pharmaceutics,0.13912962962962963
Journal of the National Cancer Center,0.13944
Theranostics,0.13967000000000002
The Journal of dermatology,0.13985
Urology case reports,0.14
Reviews in medical virology,0.14
Indian journal of ophthalmology,0.14
Experimental hematology,0.14005
Interactive journal of medical research,0.1401
Advanced healthcare materials,0.14013529411764705
International journal of clinical and health psychology : IJCHP,0.1405
Current opinion in biotechnology,0.1405
Neurology(R) neuroimmunology & neuroinflammation,0.14053333333333332
EBioMedicine,0.1408
The AAPS journal,0.14096666666666666
Digestive diseases and sciences,0.14103333333333334
Global spine journal,0.1412
International journal of cancer,0.14123529411764704
"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",0.141351724137931
Acta neuropathologica communications,0.141375
"Radiation oncology (London, England)",0.1414
Cell metabolism,0.14142
"Journal of environmental pathology, toxicology and oncology : official organ of the International Society for Environmental Toxicology and Cancer",0.14145
Current genomics,0.14175
ACS omega,0.14176666666666668
Frontiers in endocrinology,0.14243333333333333
Arthritis research & therapy,0.1425
Indian journal of clinical biochemistry : IJCB,0.14250000000000002
The Journal of infection,0.1428
Journal of hematology,0.14300000000000002
International journal of molecular and cellular medicine,0.1431
Journal of basic and clinical physiology and pharmacology,0.1432
Veterinary immunology and immunopathology,0.14335
"Experimental biology and medicine (Maywood, N.J.)",0.14345
World journal of surgical oncology,0.143505
"Diseases (Basel, Switzerland)",0.1437
Reports of biochemistry & molecular biology,0.1437
Statistics in biopharmaceutical research,0.1438
BMC surgery,0.1438
Molecular biotechnology,0.143825
Ecotoxicology and environmental safety,0.144
Oncology research and treatment,0.14404285714285714
Korean journal of radiology,0.14405
Tumori,0.1441
Nature reviews. Gastroenterology & hepatology,0.1444
CA: a cancer journal for clinicians,0.1445
Biomaterials science,0.14466
Clinical and experimental immunology,0.14476666666666668
Case reports in oncological medicine,0.144875
Computational biology and chemistry,0.14494
Thoracic surgery clinics,0.14500000000000002
Expert opinion on biological therapy,0.14523999999999998
Advances in therapy,0.14525
Journal of nanobiotechnology,0.14552857142857142
International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,0.1456
Medical science monitor : international medical journal of experimental and clinical research,0.1456333333333333
Current urology,0.1457
Journal of materials chemistry. B,0.14578333333333335
BMC oral health,0.1458
International journal of pharmaceutics,0.14634
Cell reports,0.1468
Clinical microbiology reviews,0.1471
Recent patents on anti-cancer drug discovery,0.14736666666666667
Journal of gastroenterology,0.1474
Gastroenterology & hepatology,0.1475
Laboratory investigation; a journal of technical methods and pathology,0.1476
Lab on a chip,0.147675
Postgraduate medical journal,0.14783333333333334
Gut,0.14788333333333334
Journal of clinical and translational hepatology,0.14803333333333332
Marine drugs,0.1481
Shanghai kou qiang yi xue = Shanghai journal of stomatology,0.1483
World journal of gastroenterology,0.14834
Journal of biomolecular structure & dynamics,0.1486
Drugs & aging,0.1486
Clinical nuclear medicine,0.1487
PLoS neglected tropical diseases,0.1492
Pathologica,0.1493
Frontiers in molecular biosciences,0.14931818181818182
Expert review of clinical immunology,0.1494
Urologia internationalis,0.1495
Carbohydrate polymers,0.14986666666666668
Bioorganic & medicinal chemistry,0.1499625
Molecular psychiatry,0.15
Expert opinion on investigational drugs,0.15011249999999998
Science immunology,0.1501625
Academic radiology,0.15025
Nutrition and cancer,0.1505
Chinese journal of cancer research = Chung-kuo yen cheng yen chiu,0.15084999999999998
DNA repair,0.1509
Pakistan journal of pharmaceutical sciences,0.1511
Xi bao yu fen zi mian yi xue za zhi = Chinese journal of cellular and molecular immunology,0.15115
La Radiologia medica,0.1513
Current research in translational medicine,0.1514
Drug resistance updates : reviews and commentaries in antimicrobial and anticancer chemotherapy,0.15161
Molecular brain,0.1517
Langmuir : the ACS journal of surfaces and colloids,0.1519
Endocrine,0.152
Cancer informatics,0.1521
Bioconjugate chemistry,0.15226666666666666
"Interdisciplinary sciences, computational life sciences",0.15235
Nature nanotechnology,0.152525
Animal cells and systems,0.1526
Canadian Association of Radiologists journal = Journal l'Association canadienne des radiologistes,0.1527
"Advanced materials (Deerfield Beach, Fla.)",0.15312857142857142
Biomarkers in medicine,0.1532
Journal of the American Chemical Society,0.15324500000000002
Journal of investigative medicine : the official publication of the American Federation for Clinical Research,0.15335
BMC pediatrics,0.15346666666666667
Advanced biomedical research,0.1538
Internal medicine journal,0.153825
Journal of neurology,0.1539
Veterinary microbiology,0.1539
Dermatology online journal,0.1539
Nature methods,0.154
World journal of diabetes,0.1543
Molecular and clinical oncology,0.15460000000000002
Bioinformation,0.1548
Archivos de la Sociedad Espanola de Oftalmologia,0.155
European radiology experimental,0.155
BMC biology,0.155025
Angewandte Chemie (International ed. in English),0.15504347826086956
The Keio journal of medicine,0.1554
Journal of pharmaceutical and biomedical analysis,0.15544999999999998
Developmental dynamics : an official publication of the American Association of Anatomists,0.1558
Nihon Shokakibyo Gakkai zasshi = The Japanese journal of gastro-enterology,0.1562
Journal of hospice and palliative nursing : JHPN : the official journal of the Hospice and Palliative Nurses Association,0.1562
Maedica,0.1562
Current opinion in urology,0.156425
Chemistry of materials : a publication of the American Chemical Society,0.1565
Revista da Associacao Medica Brasileira (1992),0.1566
SAGE open medical case reports,0.1567
Scandinavian journal of immunology,0.1568
Journal of sport and health science,0.157
"Journal of chemotherapy (Florence, Italy)",0.15703333333333333
Analytical chemistry,0.15705
Innovative surgical sciences,0.15705000000000002
Journal of controlled release : official journal of the Controlled Release Society,0.15752716049382717
Journal of pharmaceutical sciences,0.1576
Advances in immunology,0.15764999999999998
"Journal of stomatology, oral and maxillofacial surgery",0.15839999999999999
"Hematology (Amsterdam, Netherlands)",0.15856666666666666
BMB reports,0.1586
Cell chemical biology,0.1587666666666667
European urology,0.1589
Biomarker insights,0.1591
The lancet. Gastroenterology & hepatology,0.1591
Oncology and therapy,0.15923333333333334
Dentistry journal,0.1595
Psycho-oncology,0.15955
Biofabrication,0.1597
Biochemical and biophysical research communications,0.16010666666666667
Drug delivery,0.16095
The Surgical clinics of North America,0.16096
Journal of community health,0.161
Respiratory medicine case reports,0.16135
Current rheumatology reports,0.1614
Genes & genomics,0.16155
Biological & pharmaceutical bulletin,0.16156666666666666
Melanoma research,0.1618
Oral diseases,0.16235
Clinics and practice,0.1624
Advances in radiation oncology,0.16243333333333335
European journal of medicinal chemistry,0.16255
"Breast (Edinburgh, Scotland)",0.162675
Journal of virology,0.16315000000000002
Biomaterials,0.16322978723404255
Journal of pediatric hematology/oncology,0.1636
Biomaterials research,0.1636375
"Small (Weinheim an der Bergstrasse, Germany)",0.16379615384615384
Journal of proteome research,0.16379999999999997
European journal of gastroenterology & hepatology,0.1639
European journal of applied physiology,0.1639
Materials today. Bio,0.16390263157894736
Cancer innovation,0.16405
"BioDrugs : clinical immunotherapeutics, biopharmaceuticals and gene therapy",0.1641
British journal of nursing (Mark Allen Publishing),0.16415000000000002
AME case reports,0.16425
Clinical pharmacology and therapeutics,0.164275
Journal of infection and public health,0.1643
Annals of clinical and translational neurology,0.1644
Current gene therapy,0.16444999999999999
European journal of immunology,0.16536
Biology direct,0.1655
Journal of dermatological science,0.1657
Zhonghua er ke za zhi = Chinese journal of pediatrics,0.1662
European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft fur Pharmazeutische Verfahrenstechnik e.V,0.16625
Acta haematologica,0.16655
The journal of allergy and clinical immunology. In practice,0.1667
Human genomics,0.1668
Surgical oncology clinics of North America,0.16701666666666667
Seminars in hematology,0.1673
"Indian journal of dermatology, venereology and leprology",0.1673
BMC urology,0.16743333333333332
Genome medicine,0.1675333333333333
Acta biomaterialia,0.167564
Cancer epidemiology,0.1678
Patient education and counseling,0.1679
Zhonghua yi xue za zhi,0.16795
CytoJournal,0.1681
Recenti progressi in medicina,0.1686857142857143
Advanced biology,0.1687
"Nanomedicine (London, England)",0.16871666666666665
Molecular diagnosis & therapy,0.16875
Biochemical pharmacology,0.16895
Journal of enzyme inhibition and medicinal chemistry,0.1691
Cell transplantation,0.1698
Indian journal of cancer,0.1705
Journal of chemical theory and computation,0.17054999999999998
Immunology and cell biology,0.171025
Journal of medical virology,0.17105
Heart failure reviews,0.1715
Zhongguo shi yan xue ye xue za zhi,0.1715
Gut pathogens,0.1716
Cancer imaging : the official publication of the International Cancer Imaging Society,0.1716
IET systems biology,0.17165
Communications medicine,0.17178
ACS nano,0.17186666666666667
The journal of medical investigation : JMI,0.172
BioImpacts : BI,0.17206666666666667
Biology methods & protocols,0.1724
"Hepatology (Baltimore, Md.)",0.17325
"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",0.1734
Clinical interventions in aging,0.1735
Iranian journal of immunology : IJI,0.1739
European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,0.17395
ACS applied materials & interfaces,0.17433958333333333
The American journal of pathology,0.1744
Gastroenterology clinics of North America,0.1746
Digestive and liver disease : official journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver,0.1749
AIDS and behavior,0.1753
Veterinary sciences,0.1756
Chembiochem : a European journal of chemical biology,0.175725
Expert opinion on drug safety,0.1759
"Nanomedicine : nanotechnology, biology, and medicine",0.17615000000000003
"Immunity, inflammation and disease",0.17672500000000002
Biochemistry and biophysics reports,0.17685
Archives of disease in childhood,0.1769
Precision radiation oncology,0.1773
Expert review of respiratory medicine,0.1774
Future medicinal chemistry,0.17745
Lung,0.1778
The Pan African medical journal,0.1779
Journal of cancer policy,0.1784
Pathology oncology research : POR,0.17863333333333334
JMIR mHealth and uHealth,0.1787
Computerized medical imaging and graphics : the official journal of the Computerized Medical Imaging Society,0.1787
